icao,iata,name
,*A,Star Alliance
,*O,Oneworld
,*Q,The Qualiflyer Group
,*S,Skyteam
BBL,0B,BBN Airlines Indonesia
,0C,Catovair
,0J,Premium Jet AG
,0N,North Star Air
,0O,STA Travel
,0P,Palau Pacific Airways
VFC,0V,Vietnam Air Services Company
,0W,W Caribbean Costa Rica
AGT,1A,Amadeus
,1B,Abacus
,1C,EDS Information Business
,1D,Raddix Solutions
,1E,Travelsky Technology
TTF,1F,Infini Travel Information
,1G,Travelport Galileo
,1H,Sirena Travel
EJA,1I,Netjets Aviation
NJE,1I,Netjets Europe
,1J,Axess International
,1K,Sutra
,1L,Navitaire Open Skies
,1M,Sirena Jsc
,1N,Navitaire New Skies
,1O,Phoenix Systems Dertours
WSP,1P,Travelport Worldspan
,1Q,Joint Stock Company Ital
,1R,Bird Information Systems
,1S,Sabre
,1T,East Line
,1U,ITA Software
,1V,Galileo International
,1W,Sabre
,1X,Branson Air Express
,1Y,Electronic Data Systems (EDS)
APD,1Z,Fantasia Info Network
DBB,2A,Deutsche Bahn
AWT,2B,Albawings
,2C,SNCF
EAL,2D,"Eastern Airlines, LLC"
EIX,2E,Smokey Bay Air
FAV,2F,Fair Aviation
,2G,Angara Airlines
,2H,Thalys
SRU,2I,Star Perú
VBW,2J,Air Burkina
GLG,2K,Aerolineas Galapagos
OAW,2L,Helvetic Airways
MYD,2M,Maya Island Air
NTJ,2N,Nextjet
RNE,2O,Redemption
GAP,2P,PAL Express
SNC,2Q,Air Cargo Carriers
VRR,2R,VIA Rail Canada
,2S,Air Carnival
BMA,2T,BermudAir
ERO,2U,Ero Sun d'Or
,2V,Amtrak
WFL,2W,"World 2 Fly, S.L"
PTB,2Z,Passaredo Transportes
,3A,Chu Kong Passenger Transport
JBR,3B,Job Air
CVA,3C,Air Chathams
,3D,Dokasch
OMQ,3E,Multi Aero
,3F,Pacific Airways
CXM,3G,AsiaCargo Express
AIE,3H,Air Inuit
LFM,3I,Pison Airways Ltd
JBW,3J,Jubba Airways Kenya
JSA,3K,Jetstar Asia Airways
ADY,3L,Air Arabia Abu Dhabi
GFT,3M,Silver Airways
URG,3N,Air Urga
MAC,3O,Air Arabia Maroc
WPT,3P,World 2 Fly Portugal
,3Q,Carib Aviation Limited
DVR,3R,Divi Divi Air
,3S,Air Antilles Express
TRQ,3T,Tarco Air
CSC,3U,Sichuan Airlines
TAY,3V,Tnt Airways
MWI,3W,Malawian Airlines
,3X,Premier Trans Aire
TVP,3Z,Travel Service Polska
AMP,4A,Aero Transporte
BTQ,4B,Boutique Air
ARE,4C,LATAM Colombia
ASD,4D,Air Sinai
