icao,iata,name,city,country,lat,lon,tz
NTGA,AAA,Anaa Airport,Anaa,PF,-17.3526,-145.509995,Pacific/Tahiti
YARY,AAB,Arrabury Airport,Tanbar,AU,-26.69639,141.048718,Australia/Brisbane
HEAR,AAC,El Arish International Airport,El Arish,EG,31.055324,33.827964,Africa/Cairo
HCAD,AAD,Adado Airport,Adado,SO,6.095802,46.6375,Africa/Mogadishu
DABB,AAE,Annaba Rabah Bitat Airport,Annaba,DZ,36.826781,7.81334,Africa/Algiers
KAAF,AAF,Apalachicola Regional Airport,Apalachicola,US,29.727501,-85.027496,America/New_York
EDKA,AAH,Aachen-Merzbrück Airport,Aachen,DE,50.823055,6.186389,Europe/Berlin
,AAI,Arraias Airport,Arraias,BR,-13.025154,-46.884107,
SMCA,AAJ,Cayana Airstrip,Awaradam,SR,3.898681,-55.577907,America/Paramaribo
NGUK,AAK,Aranuka Airport,Buariki,KI,0.185278,173.636993,Pacific/Tarawa
EKYT,AAL,Aalborg Airport,Aalborg,DK,57.094763,9.84993,Europe/Copenhagen
FAMD,AAM,Malamala Airport,Malamala,ZA,-24.816866,31.544085,Africa/Johannesburg
OMAL,AAN,Al Ain International Airport,Al Ain,AE,24.2617,55.6092,Asia/Dubai
SVAN,AAO,Anaco Airport,Anaco,VE,9.430225,-64.470726,America/Caracas
WALS,AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.374478,117.250128,Asia/Makassar
URKA,AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,45.002102,37.347301,Europe/Moscow
EKAH,AAR,Aarhus Airport,Aarhus,DK,56.303331,10.618286,Europe/Copenhagen
WAVR,AAS,Apalapsili Airport,Apalapsili,ID,-3.882495,139.310932,
ZWAT,AAT,Altay Xuedu Airport,Altay,CN,47.749886,88.085808,Asia/Shanghai
NSAU,AAU,Asau Airport,Asau,WS,-13.505132,-172.627888,Pacific/Apia
RPMA,AAV,Allah Valley Airport,Surallah,PH,6.367903,124.752431,Asia/Manila
SBAX,AAX,Romeu Zema Airport,Araxá,BR,-19.5632,-46.9604,America/Sao_Paulo
OYGD,AAY,Al Ghaydah International Airport,Al Ghaydah,YE,16.193341,52.174186,Asia/Aden
MGQZ,AAZ,Quezaltenango Airport,Quezaltenango,GT,14.8656,-91.501999,America/Guatemala
UNAA,ABA,Abakan International Airport,Abakan,RU,53.740002,91.385002,Asia/Krasnoyarsk
DNAS,ABB,Asaba International Airport,Asaba,NG,6.204167,6.665278,Africa/Lagos
LEAB,ABC,Albacete Airport / Los Llanos Air Base,Albacete,ES,38.948502,-1.86352,Europe/Madrid
OIAA,ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,30.367887,48.230075,Asia/Tehran
KABE,ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.651773,-75.442797,America/New_York
NGAB,ABF,Abaiang Airport,Abaiang,KI,1.79861,173.041,Pacific/Tarawa
YABI,ABG,Abingdon Downs Airport,Abingdon Downs,AU,-17.608814,143.183531,Australia/Brisbane
YAPH,ABH,Alpha Airport,Alpha,AU,-23.652849,146.582668,Australia/Brisbane
KABI,ABI,Abilene Regional Airport,Abilene,US,32.4113006592,-99.68190002440001,America/Chicago
DIAP,ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,Africa/Abidjan
HAKD,ABK,Kebri Dahar Airport,Kebri Dahar,ET,6.732577,44.241339,Africa/Addis_Ababa
PAFM,ABL,Ambler Airport,Ambler,US,67.105529,-157.855339,America/Anchorage
YNPE,ABM,Northern Peninsula Airport,Bamaga,AU,-10.946194,142.455081,
SMBN,ABN,Albina Airport,Albina,SR,5.51272,-54.050098,America/Cayenne
DIAO,ABO,Aboisso Airport,Aboisso,CI,5.461944,-3.234722,Africa/Abidjan
,ABP,Atkamba Airport,Atkamba Mission,PG,-6.06462,141.095173,
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925,America/Denver
KABR,ABR,Aberdeen Regional Airport,Aberdeen,US,45.449100494384766,-98.42179870605469,America/Chicago
HEBL,ABS,Abu Simbel Airport,Abu Simbel,EG,22.375924,31.611734,Africa/Cairo
OEBA,ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.298506,41.636153,Asia/Riyadh
WATA,ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID,-9.074841,124.903285,
DNAA,ABV,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,Africa/Lagos
YMAY,ABX,Albury Airport,East Albury,AU,-36.066758,146.959148,Australia/Melbourne
KABY,ABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215,America/New_York
EGPD,ABZ,Aberdeen International Airport,Aberdeen,GB,57.2019,-2.19778,Europe/London
MMAA,ACA,General Juan N. Álvarez International Airport,Acapulco,MX,16.757126,-99.753113,America/Mexico_City
